"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDS-SRPSKA DEMOKRATSKA STRANKA","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","STRANKA DIJASPORE BOSNE I HERCEGOVINE","SAVEZ ZA NOVU POLITIKU","NARODNI DEMOKRATSKI POKRET","SRS-SRPSKA U SIGURNE RUKE","UJEDINJENA SRPSKA","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH"
132B001,0,180,0,29,96,40,97,1,0,0,19,5,1,0
132B002,0,123,0,30,88,31,84,0,0,0,38,0,0,1
132B003,0,208,0,22,70,74,103,1,0,0,68,9,0,0
132B004,0,177,0,7,61,99,83,0,0,0,33,5,0,0
132B005,0,69,0,10,10,28,35,0,0,0,11,1,0,0
132B006,0,81,0,4,21,33,93,0,0,1,41,8,3,0
132B007,0,150,0,14,37,87,100,0,0,0,45,11,1,0
132B008,1,186,0,25,56,38,75,0,0,0,16,8,1,2
132B009,0,192,0,17,39,45,93,0,0,0,29,7,0,0
132B010,0,138,0,4,15,25,41,1,0,0,11,10,1,0
132B011,0,247,0,28,47,71,175,0,0,0,25,20,2,0
132B012,0,134,1,15,50,79,127,1,0,0,31,14,0,0
132B013,0,165,0,2,100,63,130,0,0,0,23,9,0,0
132B014,0,198,1,35,79,59,132,1,0,0,72,7,0,0
132B015,0,126,0,15,41,34,55,0,0,0,14,3,2,0
132B016,0,148,0,12,47,75,125,0,0,0,25,9,1,0
132B017,0,176,0,25,48,64,83,0,0,0,53,2,7,0
132B018,0,140,2,18,34,84,112,0,0,0,44,11,0,0
132B019,0,196,0,31,25,30,112,1,0,0,22,8,5,0
132B020,0,132,0,2,18,35,49,0,0,0,12,7,0,0
132B021,0,138,0,12,21,25,64,0,0,0,19,5,0,0
132B022,0,148,0,23,34,77,95,0,0,0,7,1,4,0
132B023,0,110,0,31,36,46,48,0,0,1,31,6,0,0
Ukupno,1,3562,4,411,1073,1242,2111,6,0,2,689,166,28,3
