"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","GRAÐANSKA DEMOKRATSKA STRANKA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","NAŠA STRANKA","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI",SPR-BIH,"SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","PRVA STRANKA","SDF BIH","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH","GRAĐANSKI SAVEZ (GS)"
133A001,3,4,19,3,4,8,31,2,8,3,80,0,0,20,68,1,1,2,5
133A002,5,2,20,6,7,7,45,4,7,4,69,3,0,24,49,0,0,5,14
133A003,5,0,24,0,3,13,88,3,5,4,58,0,0,20,40,3,0,3,3
133A004,8,0,17,4,1,6,50,0,6,19,51,0,0,14,38,3,2,1,5
133A005,7,1,30,3,4,7,56,1,4,0,20,0,0,23,27,5,0,4,6
133A006,13,12,36,1,2,12,100,0,2,0,13,0,0,37,59,3,0,3,3
133A007,14,34,26,1,0,22,106,0,2,1,20,1,0,36,22,4,0,5,2
133A008,9,1,22,5,0,8,66,2,2,3,24,1,0,8,66,2,0,10,1
133A009,27,6,18,1,0,24,106,0,2,1,8,1,0,35,16,0,0,6,0
133A010,5,0,19,0,2,10,57,0,21,1,46,1,0,15,34,3,2,3,6
133A011,4,6,29,3,7,11,61,1,12,0,44,0,0,23,43,0,0,9,9
133A012,2,9,30,3,0,4,56,2,6,0,65,0,0,21,46,1,0,3,4
133A013,9,6,39,2,5,6,49,0,10,2,73,2,0,19,43,1,0,9,9
133A014,6,4,16,0,2,7,68,0,14,0,66,0,0,14,45,0,1,4,4
133A015,3,1,41,4,1,8,50,0,6,8,66,0,0,24,38,0,0,4,7
133A016,5,4,23,2,2,9,38,0,14,2,69,1,0,24,45,5,0,8,4
133A017,3,2,27,1,3,7,38,0,14,3,98,1,0,30,64,1,0,4,10
