"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ","SDA-STRANKA DEMOKRATSKE AKCIJE","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","NAŠA STRANKA","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","PRVA STRANKA","LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH","GRAĐANSKI SAVEZ (GS)"
136A001,7,9,76,3,3,65,13,0,5,35,25,40,0,1,3,13
136A002,6,7,39,0,0,93,12,0,2,62,31,64,1,0,14,15
136A003,3,5,50,4,2,98,19,2,7,45,42,47,0,0,0,17
136A004,5,8,37,1,2,90,22,0,5,49,34,74,0,0,6,19
136A005,0,23,15,1,0,103,6,1,2,14,7,21,0,0,0,5
136A006,5,3,19,0,0,245,6,0,5,31,25,34,0,0,0,4
136A007,20,2,18,0,18,162,5,0,0,8,32,19,0,0,0,11
136A008,7,7,31,0,5,202,5,0,6,6,35,38,1,0,1,3
136A009,4,11,39,1,9,180,14,0,9,43,36,33,0,0,3,2
136A010,2,0,36,2,2,29,20,3,2,82,34,47,0,0,2,29
136A011,15,1,54,3,1,64,43,2,5,91,38,54,0,0,2,33
136A012,2,5,45,1,2,82,17,0,1,82,37,55,0,0,0,20
136A013,2,2,43,1,4,94,7,2,2,35,23,39,0,0,3,13
136A014,8,5,42,6,0,157,21,2,2,66,21,42,2,0,0,21
136A015,8,8,49,0,2,106,19,0,1,83,20,48,0,3,7,16
136A016,5,0,40,0,2,48,11,0,3,41,19,45,0,0,1,10
136A017,3,4,88,2,2,35,20,1,6,63,23,52,0,0,2,24
136A018,5,6,75,1,0,52,18,2,2,78,22,49,1,0,5,26
136A019,4,18,45,7,0,63,7,2,1,96,15,50,0,0,3,26
136A020,11,16,35,2,0,70,5,2,5,63,29,74,0,0,3,21
136A021,5,6,29,4,2,40,13,1,0,45,12,54,0,0,3,10
136A022,3,0,22,4,1,41,9,0,1,52,21,31,0,0,1,8
136A023,2,13,10,0,0,55,6,0,1,9,10,18,0,10,0,4
136A024,5,0,36,12,0,49,14,0,6,89,15,44,0,0,2,9
136A025,11,4,23,3,1,27,14,0,1,69,6,15,1,0,1,9
136A026,12,3,32,2,1,32,22,0,2,100,11,26,2,0,0,12
136A027,11,7,43,4,1,66,21,0,3,103,27,44,1,1,2,10
136A028,3,1,50,3,0,47,22,1,4,80,19,38,0,0,2,16
136A029,6,3,26,0,1,110,4,0,2,6,46,98,1,0,0,2
136A030,10,5,56,0,3,160,2,1,2,4,46,79,0,1,1,4
136A031,10,6,44,0,2,190,2,0,2,4,23,41,1,0,5,3
136A032,3,3,25,0,2,124,14,0,2,15,22,48,0,0,2,2
136A033,8,1,48,0,6,141,12,0,3,41,79,30,0,0,2,9
136A034,3,8,38,0,15,136,17,0,0,28,34,32,0,1,1,6
136A035,0,0,3,0,0,0,1,2,0,0,3,10,0,0,0,1
136A036,15,12,47,1,2,82,20,0,10,47,37,53,2,0,1,5
136A037,7,5,48,3,2,58,18,2,4,72,37,62,3,1,4,15
136A038,5,1,32,2,1,81,13,1,11,68,45,63,0,0,2,16
136A039,7,3,49,1,0,78,7,0,1,75,27,53,0,1,3,12
136A040,3,2,55,6,2,58,12,2,7,65,17,39,0,0,0,14
136A041,2,8,26,3,1,78,10,0,11,35,37,42,0,0,4,3
136A042,7,6,25,0,0,44,13,1,13,22,21,43,0,0,0,7
136A043,6,6,48,1,0,71,17,0,7,55,45,39,0,0,1,12
136A044,3,4,32,1,1,45,14,0,17,26,18,21,1,1,3,10
136A045,3,17,47,8,1,39,27,0,4,56,33,34,0,0,5,12
136A046,2,7,51,1,0,29,12,2,1,49,22,27,1,1,5,19
136A047,1,13,26,3,1,30,16,1,5,58,29,28,1,0,3,10
136A048,1,8,48,7,0,43,12,0,0,49,44,25,0,0,6,9
136A049,4,3,49,7,0,39,6,2,1,35,14,30,0,0,4,12
136A050,3,5,51,3,1,30,9,3,2,89,26,36,1,0,9,16
136A051,1,1,34,6,0,60,17,0,4,71,32,39,0,0,7,27
136A052,5,12,36,4,5,31,17,0,2,76,42,29,0,0,3,6
136A053,6,17,29,2,3,27,20,1,1,65,24,27,1,0,0,14
136A054,1,21,31,2,1,54,8,0,1,71,18,35,0,1,4,11
136A055,9,3,41,4,0,73,17,0,1,57,30,57,1,0,2,22
136A056,6,10,51,12,4,63,29,0,1,64,22,51,0,0,3,15
