"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","GRAÐANSKA DEMOKRATSKA STRANKA BIH","BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","LIBERALNO DEMOKRATSKA STRANKA BIH","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","NAŠA STRANKA","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","SAVEZ ZA STARI GRAD","GRAĐANSKI SAVEZ (GS)","PRVA NEZAVISNA LISTA STARI GRAD"
137A001,7,37,11,22,9,79,0,1,4,0,16,39,121,17,17,54
137A002,4,1,36,28,15,115,0,7,9,1,17,30,31,18,12,62
137A003,2,7,28,15,11,99,0,0,5,1,11,27,102,14,27,34
137A004,4,3,20,21,16,89,0,2,7,2,8,21,79,18,14,38
137A005,5,1,15,25,28,48,0,2,1,9,11,80,59,14,12,29
137A006,11,0,26,22,3,217,0,4,3,1,5,9,35,25,5,22
137A007,10,9,28,38,7,109,0,4,5,2,7,26,21,12,3,36
137A008,2,2,10,35,11,98,0,1,7,9,15,15,34,4,7,65
137A009,8,3,26,31,75,73,0,10,3,1,19,14,53,5,8,85
137A010,8,1,61,53,75,51,1,10,4,1,9,11,38,12,14,58
137A011,18,2,30,59,18,130,0,16,12,0,3,17,32,9,11,121
137A012,5,13,29,20,18,124,0,1,4,5,32,21,18,21,7,54
137A013,17,8,34,8,11,55,0,4,1,3,26,13,35,40,22,56
137A014,12,3,27,10,4,95,0,4,8,5,76,13,31,17,7,65
137A015,2,4,38,11,7,72,1,4,6,3,57,15,30,63,17,72
137A016,3,10,24,5,6,96,0,11,9,6,43,25,32,32,9,71
137A017,11,4,36,14,10,97,0,4,6,2,32,25,28,12,9,59
137A018,23,4,39,6,8,70,0,0,13,8,42,24,50,33,18,50
137A019,28,1,67,16,5,52,1,5,1,0,12,25,40,57,8,160
137A020,9,12,93,12,6,104,1,6,4,10,13,24,39,55,55,55
137A021,13,6,73,4,19,81,0,5,4,0,14,64,28,63,14,39
137A022,29,2,126,6,14,87,1,6,6,1,10,31,6,126,10,73
137A023,8,19,54,5,43,102,0,35,13,2,21,38,33,46,10,49
137A024,49,2,64,10,20,96,0,31,18,2,28,31,40,25,26,65
137A025,10,6,70,3,1,97,0,0,11,0,22,36,39,15,12,70
137A026,11,4,76,4,16,67,0,2,9,0,15,29,23,22,4,76
137A027,2,10,37,22,13,103,0,6,5,2,23,28,22,16,20,53
137A028,6,10,31,4,4,75,0,4,12,0,36,21,20,18,23,55
137A029,9,3,14,10,11,101,0,8,7,9,14,31,35,33,14,66
137A030,12,3,23,24,4,139,0,12,24,0,15,36,21,10,18,72
137A031,9,2,42,12,3,91,0,2,15,3,39,22,59,25,17,51
137A032,5,6,20,16,3,92,0,1,6,1,37,25,65,20,23,45
137A033,4,0,48,18,3,67,0,3,10,0,39,18,31,24,17,51
137A034,10,10,37,12,16,107,0,17,19,2,16,22,31,31,3,41
137A035,18,4,29,47,10,98,0,5,9,5,9,37,19,30,18,33
137A036,41,1,40,19,13,62,0,3,1,0,15,18,16,41,23,70
137A037,11,11,36,21,10,149,0,22,15,0,23,38,20,49,13,58
137A038,5,6,43,4,3,29,0,3,6,5,65,23,18,4,19,65
137A039,5,4,35,11,4,47,0,3,3,2,58,25,20,4,12,76
137A040,5,5,46,9,1,65,0,1,8,0,69,20,31,6,27,61
137A041,3,3,34,13,5,80,0,4,8,1,84,20,35,13,38,71
137A042,9,11,34,9,7,78,0,3,20,2,62,23,63,22,22,79
137A043,4,16,44,3,9,60,1,2,10,1,50,36,43,9,14,53
137A044,4,3,14,14,6,69,0,2,6,0,54,29,27,26,9,51
137A045,3,17,28,8,6,35,1,2,12,3,68,24,52,6,13,47
137A046,2,16,34,14,7,46,1,0,20,1,59,20,35,6,23,37
Ukupno,476,305,1810,773,594,3996,8,278,389,111,1399,1219,1740,1168,724,2753
