"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","NAŠA STRANKA","SBB - FAHRUDIN RADONČIĆ","KOMUNISTIČKA PARTIJA","DEMOKRATSKA FRONTA","PRVA STRANKA","GRAĐANSKI SAVEZ (GS)"
139A001,1,0,18,6,72,0,3,0,28,35,6,92,4,10
139A002,4,1,17,5,57,1,9,1,43,35,2,36,1,6
139A003,7,1,20,8,59,0,6,8,51,21,4,52,4,18
139A004,2,0,24,6,45,1,8,7,46,16,6,41,0,8
139A005,5,5,29,2,57,0,6,1,75,21,7,45,0,8
139A006,5,0,7,5,31,0,8,9,31,14,7,21,1,14
139A007,6,2,25,2,53,1,2,7,40,44,7,40,1,12
139A008,6,2,28,3,39,0,9,9,52,32,2,27,3,6
139A009,1,7,35,5,29,0,7,6,72,27,2,38,1,7
139A010,7,1,26,7,35,0,9,6,73,30,4,50,0,9
139A011,9,0,19,2,65,0,25,8,40,18,3,33,0,10
139A012,3,1,20,4,63,0,8,9,29,27,1,23,0,11
139A013,0,4,24,2,46,0,10,9,51,26,3,26,3,9
139A014,1,3,30,12,54,0,3,9,54,23,3,48,3,9
139A015,5,0,34,5,60,1,11,1,50,35,3,53,0,10
139A016,10,0,27,9,34,1,4,15,52,35,4,29,0,6
139A017,3,3,27,2,27,0,8,10,49,27,0,44,1,13
139A018,6,1,14,5,37,0,8,22,63,22,1,14,3,5
139A019,8,1,28,9,63,0,6,11,52,47,2,42,2,9
139A020,8,2,37,5,60,2,9,4,46,35,0,38,1,13
139A021,3,3,40,4,70,1,5,11,60,28,3,51,0,11
139A022,7,2,33,7,53,2,14,9,48,23,4,37,0,6
139A023,9,4,19,6,36,0,7,15,53,20,5,33,1,16
139A024,9,6,37,9,57,0,15,5,58,21,3,53,0,13
139A025,5,5,32,6,56,0,6,11,54,26,2,50,3,12
139A026,2,0,21,9,54,0,8,13,44,25,1,59,0,7
139A027,4,2,25,3,64,0,10,8,42,34,0,53,0,5
139A028,4,1,57,23,81,0,22,9,48,21,1,37,3,11
139A029,8,10,15,1,83,0,4,2,23,51,2,35,8,8
139A030,13,0,18,3,54,1,12,7,30,49,0,38,1,4
139A031,2,0,41,7,36,1,7,14,82,31,0,29,2,9
