"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","SRPSKA NAPREDNA STRANKA","SAVEZ ZA NOVU POLITIKU","NARODNI DEMOKRATSKI POKRET","SNAGA NARODA","SRS-SRPSKA U SIGURNE RUKE","STRANKA ZA NAŠ GRAD - SNG","MIROSLAV LALOVIĆ - NEZAVISNI KANDIDAT","UJEDINJENA SRPSKA","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH"
140B001,69,0,54,0,7,41,93,0,0,0,8,0,17,25,0,12,0
140B002,137,0,33,1,34,93,217,0,0,0,31,0,46,32,6,9,0
140B003,100,0,39,0,33,81,179,0,0,0,8,1,39,41,4,3,0
140B004,117,0,62,0,31,82,248,0,0,0,34,0,44,107,5,6,0
140B005,29,0,9,0,13,20,53,0,0,0,0,0,7,57,0,0,0
140B006,44,0,23,0,25,58,177,0,0,0,8,0,12,46,0,3,0
140B007,71,0,12,3,28,107,183,0,0,0,4,0,15,23,0,1,0
140B008,142,0,50,0,18,77,252,0,1,0,34,0,43,86,1,3,1
140B009,137,0,37,1,17,69,184,0,0,1,35,0,58,27,1,2,1
140B010,116,0,34,0,26,70,165,0,0,0,13,0,49,46,1,2,0
140B011,145,0,22,0,18,71,188,0,0,0,11,0,42,48,1,7,0
140B012,130,0,21,0,20,86,217,0,0,1,27,0,42,40,1,10,0
140B013,114,0,19,3,30,78,221,1,0,1,22,0,48,36,4,14,0
140B014,44,0,25,0,21,43,89,1,0,0,12,0,21,30,0,7,0
Ukupno,1395,0,440,8,321,976,2466,2,1,3,247,1,483,644,24,79,2
