"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA RADIKALNA STRANKA ""9. JANUAR""","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","POKRET ZA NAŠ GRAD","SAVEZ ZA DEMOKRATSKU SRPSKU","NARODNI DEMOKRATSKI POKRET","SRS-SRPSKA U SIGURNE RUKE","UJEDINJENA SRPSKA","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH","JEDINSTVENA NAPREDNA STRANKA"
144B001A,81,1,16,7,37,40,72,0,2,14,4,10,4,11,0,1
144B001B,87,0,8,5,61,36,75,0,0,3,1,4,4,15,0,0
144B002A,128,0,11,3,63,47,96,1,0,15,5,15,14,2,0,0
144B002B,105,0,6,5,79,54,88,0,3,8,4,17,5,12,0,1
144B003A,79,0,13,9,68,50,86,0,12,8,2,22,9,15,0,1
144B003B,89,0,11,10,40,42,78,0,3,20,5,11,8,6,0,2
144B004,120,0,15,15,84,62,92,1,7,12,3,49,2,15,0,0
144B005,49,0,14,10,104,42,82,0,3,7,4,87,4,6,0,14
144B006,143,0,29,20,123,99,156,0,3,12,3,23,10,16,0,1
144B007,136,1,25,16,101,87,127,1,5,12,4,19,9,13,3,2
144B008,127,0,20,12,105,99,92,0,5,17,1,24,10,15,0,4
144B009,25,0,2,2,24,17,17,0,0,3,1,4,0,0,0,2
144B010,7,0,0,0,14,7,24,0,0,1,0,0,0,3,0,0
144B011,30,0,3,9,25,13,62,0,0,2,0,22,2,2,0,0
144B012,107,0,26,8,139,101,152,1,0,7,1,24,8,8,0,0
144B013,18,0,6,4,19,9,75,0,0,0,4,2,2,4,0,0
144B014A,56,0,19,8,115,33,150,0,0,4,0,20,10,5,0,0
144B014B,78,0,20,23,94,48,142,1,0,5,1,14,15,1,0,0
144B014C,78,0,13,3,112,46,122,1,1,3,0,12,6,2,0,0
144B015,97,0,13,5,91,62,102,0,4,9,8,21,6,14,0,4
144B016,46,0,0,10,34,38,65,0,3,0,2,5,2,0,0,2
144B017,39,0,9,1,21,9,21,0,0,3,0,17,4,1,0,0
144B018,32,0,25,1,14,7,11,0,0,0,0,3,1,2,0,0
144B019,10,0,12,0,4,0,2,0,0,0,0,4,0,0,0,0
144B020,16,0,2,0,5,1,6,0,0,0,0,6,0,0,0,0
144B021,8,0,0,1,3,0,9,0,0,0,0,0,0,0,0,2
144B022,23,0,1,0,2,1,4,0,0,0,0,0,0,0,0,0
144B023,235,0,21,10,96,54,86,0,1,14,5,29,1,8,0,2
144B024,13,0,4,4,15,8,18,0,0,0,0,1,10,4,0,0
144B025,4,0,0,0,6,1,7,0,0,0,0,1,0,2,0,0
144B026,92,0,84,9,66,53,109,0,1,7,1,15,3,5,0,1
144B027,21,0,10,0,10,7,15,0,2,0,0,0,0,1,0,0
144B028,122,0,9,16,96,61,124,0,6,17,8,32,17,9,0,0
144B029,137,1,34,11,90,108,150,0,2,21,5,19,12,13,0,4
144B030,170,0,17,10,116,106,136,0,2,8,2,14,7,18,0,5
144B031,177,0,26,5,117,61,122,1,2,20,5,10,4,5,0,2
144B032,102,0,20,9,99,72,155,0,10,33,12,29,9,10,0,4
144B033,82,0,6,5,102,56,56,0,1,10,4,48,2,5,0,6
144B034,105,0,17,12,76,85,90,2,4,14,5,18,6,15,0,2
Ukupno,3074,3,567,278,2470,1722,3076,9,82,309,100,651,206,263,3,62
