"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDS-SRPSKA DEMOKRATSKA STRANKA","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","NARODNA STRANKA RADOM ZA BOLJITAK","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","SRPSKA NAPREDNA STRANKA","SAVEZ ZA NOVU POLITIKU","NARODNI DEMOKRATSKI POKRET","SNAGA NARODA","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH","SRS-SRPSKA U SIGURNE RUKE","UJEDINJENA SRPSKA","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH",SDA/SBB
146B001,0,21,0,1,2,0,0,0,7,0,0,0,1,1,0,3,0,0,8
146B002,2,71,0,0,0,6,1,0,34,4,2,0,3,1,2,12,0,2,16
146B003,0,82,0,7,5,26,5,3,98,8,5,6,14,7,50,19,7,0,2
146B004,0,14,0,4,12,12,1,11,28,0,2,2,1,1,3,1,0,0,34
146B005,1,25,0,2,7,8,0,2,35,4,4,5,3,2,6,0,2,0,3
146B006,1,34,0,1,15,29,0,3,62,1,0,8,4,0,5,7,7,0,15
146B007,0,41,0,1,13,16,5,0,25,9,0,4,12,0,0,0,0,0,4
146B008,0,7,0,1,1,0,0,0,12,0,0,1,0,0,0,0,0,0,0
146B009,0,45,0,4,3,12,4,0,49,1,0,0,6,0,2,1,3,0,1
146B010,0,47,0,2,8,47,17,3,79,2,2,3,0,1,9,1,0,0,3
146B011,0,13,0,0,4,17,0,1,44,2,0,1,0,1,2,0,0,0,0
146B012,0,10,0,1,0,6,26,1,34,0,0,0,0,0,1,1,0,0,1
146B013,1,21,0,3,9,2,3,0,13,0,0,0,0,0,0,0,1,0,2
146B014,6,2,0,5,0,1,1,0,17,0,0,0,0,0,0,0,0,0,13
146B015,0,64,0,7,8,56,6,9,102,22,6,6,7,18,29,18,10,0,2
146B016A,2,115,0,7,14,49,17,15,106,15,1,6,5,5,12,13,3,0,0
146B016B,0,73,0,2,13,61,23,14,116,1,6,4,10,3,24,6,12,0,0
146B017,0,98,0,12,22,37,15,22,199,11,6,24,12,5,17,16,9,0,2
146B018,3,112,0,13,18,71,16,27,140,10,8,11,13,22,14,28,11,0,5
146B019,1,144,0,10,15,85,27,20,224,7,2,24,20,30,44,13,9,0,1
146B020,0,158,0,14,21,81,16,16,191,13,9,7,11,6,19,22,39,0,0
146B021,5,116,0,12,14,77,18,20,166,8,16,15,11,12,26,15,14,0,8
146B022,0,110,0,8,15,45,15,13,129,7,4,8,2,5,19,19,11,0,0
146B023,1,66,0,33,4,33,3,3,33,1,1,7,9,0,6,3,7,0,0
146B024,0,57,0,11,17,76,8,2,104,4,7,10,1,0,24,12,5,0,0
Ukupno,23,1546,0,161,240,853,227,185,2047,130,81,152,145,120,314,210,150,2,120
