"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA NAPREDNA STRANKA","NARODNI DEMOKRATSKI POKRET","SRS-SRPSKA U SIGURNE RUKE",SDA/SBB
147B001,121,0,26,62,49,160,23,70,8,3
147B002,119,0,8,58,48,224,57,53,7,19
147B003,100,0,35,50,37,235,48,67,3,30
147B004,116,0,6,9,14,90,18,10,2,7
147B005,91,0,8,31,53,90,18,22,5,0
147B006,103,0,22,44,43,179,16,34,6,3
147B007,88,0,22,53,21,166,10,51,16,5
147B008,20,0,0,16,1,4,1,4,0,0
147B009,41,0,1,1,7,31,2,5,1,14
147B010,24,0,13,15,23,60,11,12,2,25
147B011,24,0,15,6,1,36,13,3,1,0
147B012,28,0,3,8,3,22,6,9,1,11
147B013,77,0,24,51,42,129,15,38,43,5
147B014,95,0,3,26,32,53,12,26,3,4
147B015,79,0,1,1,15,49,4,2,2,15
147B016,12,0,11,4,2,43,13,3,0,0
147B017,10,0,0,0,0,38,2,0,2,0
147B018,3,0,0,3,0,15,3,17,0,7
147B019,71,0,16,47,29,88,31,43,10,0
147B020,5,0,0,1,9,2,0,4,0,37
147B022,54,0,12,22,23,102,25,64,6,5
147B023,42,1,13,41,36,134,27,33,7,2
147B024,104,0,8,42,28,108,31,12,8,1
147BO21,95,0,27,50,38,193,33,53,11,1
Ukupno,1522,1,274,641,554,2251,419,635,144,194
