"Biračko Mjesto","HKDU BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","NARODNA STRANKA RADOM ZA BOLJITAK","HRVATSKA DEMOKRATSKA UNIJA BIH","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","HRVATSKA STRANKA PRAVA HERCEG-BOSNE","HRVATSKA NEZAVISNA LISTA","HSS BIH"
148A001,9,184,6,23,53,14,29,34
148A002,4,170,3,37,17,1,27,23
148A003,7,158,1,20,49,4,33,26
148A004,9,196,5,23,43,9,29,29
148A005,1,238,1,38,60,2,30,15
148A006A,3,168,2,14,14,1,12,13
148A006B,0,128,0,13,24,2,2,8
148A007,0,76,0,16,15,2,6,12
148A008,7,223,0,9,20,0,47,2
148A009,4,133,0,21,49,3,6,5
148A010,5,172,11,20,26,5,9,10
148A011,2,117,0,51,36,0,26,6
148A012,0,164,1,24,61,4,33,4
148A013,0,22,0,12,9,4,3,13
148A014,1,107,1,22,15,1,54,3
148A015,0,43,0,4,13,2,38,3
148A016,1,81,0,8,4,1,16,12
148A017,0,149,3,3,6,43,3,26
148A018,0,123,2,4,51,12,19,21
148A019,0,105,0,11,32,13,31,20
148A020,1,125,0,31,43,14,22,8
Ukupno,54,2882,36,404,640,137,475,293
