"Biračko Mjesto","HKDU BIH","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","NARODNA STRANKA RADOM ZA BOLJITAK","HRVATSKA DEMOKRATSKA UNIJA BIH","HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","HSS BIH"
149A001,1,1,133,27,0,36,26,23
149A002,1,5,187,18,0,22,6,2
149A003,0,2,236,4,9,13,15,20
149A004,0,15,131,23,1,1,13,1
149A005,4,12,222,8,1,2,52,6
149A006,0,15,99,0,1,6,9,12
149A007,25,15,187,7,1,6,60,7
149A008,9,1,203,4,0,61,29,17
149A009,5,4,139,6,0,36,79,14
149A010,1,21,194,3,0,24,19,21
149A011,0,12,143,3,2,97,6,12
149A012,3,9,319,4,1,21,15,14
149A013,1,8,184,3,0,22,8,2
149A014,0,10,81,0,0,16,0,4
149A015,2,6,214,0,2,16,7,11
149A016,0,0,104,5,2,10,38,8
149A017,4,13,112,15,0,4,41,19
149A018,2,8,157,3,1,32,11,14
149A019,0,1,59,1,1,25,3,9
Ukupno,58,158,3104,134,22,450,437,216
