"Biračko Mjesto","HKDU BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","NARODNA STRANKA RADOM ZA BOLJITAK","HRVATSKA DEMOKRATSKA UNIJA BIH","HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","HRS-HSSBIH ZAJEDNO ZA ŠIROKI","SAVEZ ZA ŠIROKI BRIJEG HSP DR. ANTE STARČEVIĆ, HKDU-HRAST, HČSP"
150A001,7,75,28,1,61,2,8,20
150A002,14,65,16,6,8,2,4,45
150A003,10,126,2,3,59,17,0,39
150A004,1,211,2,4,6,27,8,96
150A005A,12,124,0,3,1,12,8,36
150A005B,17,111,0,2,2,6,14,31
150A006,7,220,5,3,7,7,23,26
150A007,20,196,4,33,77,31,11,15
150A008,8,242,7,22,111,6,15,27
150A009,3,205,10,8,13,19,0,24
150A010,7,134,2,6,12,5,1,8
150A011,80,71,0,9,22,0,3,2
150A012,28,141,0,2,4,8,3,8
150A013,6,144,0,2,18,5,18,9
150A014,7,291,0,0,46,6,0,61
150A015,3,152,1,8,81,1,2,55
150A016,20,357,8,28,45,20,56,58
150A017,7,135,3,4,3,18,6,26
150A018,7,221,2,5,9,15,14,67
150A019,14,155,2,4,10,15,28,37
150A020,34,133,5,9,9,15,23,40
150A021,13,152,4,5,12,40,39,22
150A022,23,177,2,7,5,21,11,51
150A023,0,105,0,0,7,5,1,40
150A024,4,141,13,3,5,31,1,77
150A025,5,178,5,0,42,10,5,21
150A026,0,52,0,14,5,0,0,3
150A027,0,62,0,0,0,15,2,12
150A028,1,160,2,39,6,9,28,20
150A029,13,102,2,2,3,3,3,9
150A030,6,195,0,5,33,15,23,41
150A031,39,156,1,5,6,8,2,27
150A032,7,82,2,1,20,16,5,26
150A033,34,122,4,0,47,6,7,44
150A034,6,77,0,3,7,20,9,62
150A035,2,167,26,52,26,41,40,46
150A036,18,156,5,8,2,12,12,11
150A037,10,126,4,5,14,16,3,34
Ukupno,493,5719,167,311,844,505,436,1276
