"Biračko Mjesto","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA NAPREDNA STRANKA","SAVEZ ZA NOVU POLITIKU","NARODNI DEMOKRATSKI POKRET","SRS-SRPSKA U SIGURNE RUKE","UJEDINJENA SRPSKA","NEZAVISNA LISTA MLADIH NEVESINJA"
161B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161B001,8,40,0,38,2,25,23,81,3,0,12,43,0,3
161B002,30,85,0,81,2,37,16,100,21,0,18,79,6,3
161B003A,16,82,0,52,2,35,32,101,10,0,13,68,7,5
161B003B,10,44,0,54,0,16,29,71,4,0,4,55,1,0
161B004,23,87,0,92,4,41,21,87,13,0,21,71,15,3
161B005,44,102,1,69,11,86,40,141,13,0,22,86,2,10
161B006,19,78,0,44,7,14,24,71,18,0,8,31,0,4
161B007,38,214,1,58,8,36,25,152,40,0,15,41,4,2
161B008,34,58,0,20,0,9,8,63,9,0,17,45,2,0
161B009,16,42,0,14,0,11,9,123,2,0,5,22,1,0
161B010,14,8,0,2,0,1,3,11,0,0,2,3,0,0
161B011,8,12,0,16,0,5,14,29,0,0,3,46,0,4
161B012,0,22,0,21,0,4,1,38,2,0,2,4,0,2
161B013,3,21,0,4,0,0,1,3,2,0,1,1,2,0
161B014,5,36,0,15,25,10,24,37,0,0,0,44,1,0
161B015,3,27,0,11,18,29,2,15,1,0,8,11,0,0
161B016,11,20,0,2,27,42,9,38,1,0,2,9,2,0
161B017,1,37,0,20,1,8,9,44,0,0,3,11,0,1
161B018,4,19,0,19,0,3,7,11,1,0,0,10,2,1
161B019,3,3,0,3,0,0,12,12,3,0,4,5,0,0
161B020,18,20,0,14,0,4,8,29,0,0,25,7,2,0
161B021,0,2,0,9,0,0,4,30,0,0,1,2,0,0
161B022,0,7,0,4,0,5,5,9,0,0,0,3,0,0
161B023,2,29,0,0,0,1,0,17,0,0,0,15,0,0
161B024,1,16,0,7,0,15,4,47,1,0,4,54,0,0
161B025,15,27,0,37,2,22,13,68,4,0,9,22,5,0
161B026,40,118,0,47,4,37,27,132,10,0,5,70,25,1
161B027,52,132,0,106,5,25,51,128,20,0,22,92,6,14
161B028,21,16,0,73,0,20,10,69,0,0,3,13,0,0
161B029,2,11,0,3,0,1,0,12,0,0,0,2,0,0
161B030,18,102,0,51,1,21,39,148,5,0,15,54,3,5
161B031,9,47,0,42,0,23,20,78,9,0,4,34,5,7
Ukupno,468,1564,2,1028,119,586,490,1995,192,0,248,1053,91,65
