"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","SRS-SRPSKA U SIGURNE RUKE"
163B001,89,28,29,36,197,35,10
163B002,9,4,12,19,63,5,3
163B003,4,2,4,6,19,3,0
163B004,10,0,6,1,22,6,0
163B005,9,7,3,5,16,3,0
163B006,1,0,0,5,8,0,0
163B007,12,0,0,2,14,1,0
163B008,4,0,7,0,18,0,0
163B009,12,1,0,1,4,1,0
163B010,1,3,6,2,22,0,18
163B011,11,0,0,10,2,3,0
163B012,115,44,43,42,301,27,16
Ukupno,277,89,110,129,686,84,47
