"Biračko Mjesto","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","SRPSKI POKRET OBNOVE REPUBLIKE SRPSKE","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRS-SRPSKA U SIGURNE RUKE"
164B001,14,149,14,49,2,38,36,167,14
164B002,34,156,15,84,0,58,50,217,16
164B003,29,191,14,88,7,79,47,190,20
164B004,28,258,26,85,4,60,27,169,29
164B005,40,171,26,60,1,66,21,186,11
164B006,23,170,23,85,7,60,40,251,18
164B007,4,40,2,8,5,6,7,17,2
164B008,20,161,10,25,0,16,20,97,6
164B009,8,17,0,3,0,0,7,5,0
164B010,1,14,0,1,1,0,0,4,0
164B011,0,8,0,4,0,0,1,1,0
164B012,6,76,5,11,0,8,3,59,3
164B013,1,15,4,2,0,5,2,8,0
164B014,6,39,1,13,0,6,3,39,1
164B015,10,49,8,5,17,18,10,56,1
164B016,6,28,5,9,0,7,2,25,1
164B017,5,82,1,3,0,33,32,64,0
164B018,10,128,20,40,0,43,21,122,8
164B019,12,80,1,18,2,9,10,75,8
164B020,0,0,0,0,50,1,0,0,0
164B021,10,143,8,27,0,25,19,161,5
Ukupno,267,1975,183,620,96,538,358,1913,143
