"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","NARODNA STRANKA RADOM ZA BOLJITAK","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","NAŠA STRANKA","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","STRANKA DIJASPORE BOSNE I HERCEGOVINE","DEMOKRATSKA FRONTA","PRVA STRANKA","STRANKA ZA BOLJE GORAŽDE","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH"
167A001,29,47,55,117,0,3,36,8,98,15,52,2,28,33
167A002,27,40,42,95,0,4,18,20,83,13,29,2,21,27
167A003,47,41,20,110,0,10,13,33,88,5,32,10,36,28
167A004,13,46,42,97,0,2,35,26,51,16,23,3,32,13
167A005,20,50,37,109,0,4,8,8,88,10,38,7,36,14
167A006,17,50,31,79,0,0,15,16,78,15,38,0,79,24
167A007,21,43,15,95,0,2,19,21,40,17,28,0,36,31
167A008,13,76,32,124,0,2,22,19,83,14,46,0,22,16
167A009,28,86,25,143,0,1,11,26,56,12,28,0,55,23
167A010,13,45,42,72,0,2,20,26,56,4,45,0,28,11
167A011,13,47,61,113,0,4,27,18,87,8,46,0,24,21
167A012,17,59,22,117,0,0,12,13,65,6,50,0,29,42
167A013,20,72,54,102,0,2,34,28,72,21,61,0,20,13
167A014,62,68,53,92,0,3,32,14,68,4,36,0,18,20
167A015,37,61,32,150,1,4,16,31,90,22,54,1,21,33
167A016,20,43,82,106,0,4,17,32,74,6,44,0,36,21
167A017,24,20,35,67,0,0,13,45,42,12,25,0,19,5
167A018,0,1,8,23,0,0,1,16,3,7,2,0,11,16
167A019,31,38,16,106,0,5,27,15,54,21,10,1,37,19
167A020,19,36,10,98,0,5,22,15,46,7,22,0,26,30
167A021,12,51,15,76,0,2,32,21,86,44,30,0,17,14
167A022,5,61,31,204,0,3,3,2,28,8,13,0,20,0
167A023,34,34,12,153,0,2,6,5,26,70,11,0,8,10
167A024,12,25,26,111,0,3,4,24,36,6,22,0,31,10
167A025,3,3,5,76,0,0,1,5,6,10,4,0,43,0
167A026,22,53,59,116,1,0,24,17,66,1,48,2,33,19
167A027,20,52,61,101,0,0,14,9,88,17,33,4,33,12
167A028,6,175,20,75,0,0,8,10,34,14,13,0,30,6
167A029,34,59,4,154,0,1,5,34,20,16,6,0,39,4
167A030,71,64,5,27,0,0,5,6,16,17,6,0,10,2
167A031,14,30,12,69,1,3,9,6,57,3,9,1,11,3
Ukupno,704,1576,964,3177,3,71,509,569,1785,441,904,33,889,520
