"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","SRPSKA NAPREDNA STRANKA","NARODNI DEMOKRATSKI POKRET","SRS-SRPSKA U SIGURNE RUKE"
169B001,0,7,151,71,75,71,114,2,30,7,32
169B002,4,21,134,94,67,86,115,4,35,17,34
169B003,1,6,94,72,43,35,57,3,21,2,20
169B004,24,60,61,56,25,5,43,0,12,8,5
169B005,4,4,76,41,10,23,37,3,9,5,9
169B006,2,1,17,16,8,48,16,0,0,13,2
169B007,0,0,0,3,4,9,10,0,10,0,3
169B008,1,0,39,4,6,5,35,0,2,0,0
169B009,0,1,21,9,5,13,6,0,0,0,2
169B010,0,0,35,14,12,3,22,0,5,1,0
169B011,0,0,6,0,0,3,1,0,0,0,0
169B012,0,0,30,17,12,8,9,0,1,2,0
169B013,0,0,1,15,5,7,3,0,2,0,0
169B014,0,1,11,7,3,10,6,0,0,0,4
169B015,2,0,5,3,1,7,1,0,0,0,1
169B016,0,0,2,0,0,0,0,0,0,0,0
169B017,24,0,8,5,2,10,4,0,1,0,0
Ukupno,62,101,691,427,278,343,479,12,128,55,112
