"Biračko Mjesto","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","NOVI DEMOKRATSKI POKRET","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA NAPREDNA STRANKA","NARODNI DEMOKRATSKI POKRET","SRS-SRPSKA U SIGURNE RUKE","ENVER ŠERO - NEZAVISNI KANDIDAT","UJEDINJENA SRPSKA"
170B001,43,29,0,30,26,0,3,18,62,44,6,17,84,5,11
170B002,46,74,0,84,14,0,2,10,98,49,3,51,32,1,6
170B003,7,17,0,1,6,7,4,8,4,3,0,5,3,1,45
170B004,10,9,0,1,8,0,15,4,5,9,0,3,2,6,2
170B005,1,4,0,13,0,0,0,13,12,13,0,0,0,0,0
170B006,2,11,0,2,30,3,0,4,2,2,0,1,3,4,27
170B007,11,13,0,3,2,0,0,10,18,36,1,28,26,0,8
170B008,58,22,0,23,10,0,6,9,71,67,2,0,18,0,0
170B009,63,43,0,18,23,1,5,56,48,64,7,38,83,16,48
170B010,8,3,0,1,1,17,3,8,4,21,0,15,15,46,24
170B011,6,4,0,0,0,0,0,8,9,9,0,8,1,5,7
170B012,29,159,0,25,18,0,5,66,85,129,0,21,3,0,6
170B013,9,17,0,5,13,4,0,8,3,15,0,0,9,16,9
170B014,52,16,0,8,24,5,0,7,19,42,7,9,15,18,4
170B015,27,9,0,6,20,12,0,8,49,20,2,0,13,25,1
170B016,57,53,0,16,33,1,21,30,35,57,1,21,59,17,34
170B017,46,34,0,15,8,4,10,34,44,67,13,47,36,16,28
Ukupno,475,517,0,251,236,54,74,301,568,647,42,264,402,176,260
