"Biračko Mjesto","HKDU BIH","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","NARODNA STRANKA RADOM ZA BOLJITAK","HRVATSKA DEMOKRATSKA UNIJA BIH","HRVATSKA NEZAVISNA LISTA","HSS BIH","MARIJA HERCEG - NEZAVISNI KANDIDAT","HDZ 1990-HRVATSKI SAVEZ HKDU-HRAST","HRVATSKA STRANKA PRAVA I HRVATSKI PRAVAŠKI BLOK (HSP BIH HPB BIH)"
171A001,0,0,104,4,2,7,0,4,40,13
171A002,0,0,138,6,1,6,0,6,45,7
171A003A,0,0,121,9,0,29,14,4,14,45
171A003B,1,1,92,1,2,19,3,12,4,26
171A004,0,1,99,3,4,42,3,5,11,38
171A005,2,0,47,1,10,7,1,3,6,14
171A006,0,0,201,0,0,2,0,2,9,34
171A007,0,0,121,1,6,21,8,11,6,103
171A008,0,0,195,1,3,17,0,9,52,88
171A009A,0,0,74,1,0,8,1,9,17,29
171A009B,0,0,150,1,2,16,0,24,37,35
171A010,0,28,80,6,2,12,0,21,25,17
171A011,2,5,115,3,10,13,4,45,53,19
171A012,1,15,141,3,5,7,3,43,66,20
171A013,0,7,87,9,2,15,0,35,34,15
171A014,3,0,130,3,7,16,3,30,60,7
171A015,2,1,223,0,7,15,5,48,98,19
171A016,1,0,123,1,3,13,12,37,65,14
171A017,0,1,119,0,8,9,3,22,52,13
171A018,1,0,190,3,0,9,1,20,60,10
171A019,0,0,89,2,0,10,2,9,24,8
171A020,0,0,342,3,0,12,0,19,84,8
171A021,1,0,124,12,0,3,1,7,26,7
171A022,0,0,85,0,1,0,0,0,104,2
171A023,0,2,115,0,4,15,0,18,40,23
171A024,0,0,151,0,0,1,0,2,3,4
171A025,0,0,68,0,1,12,0,1,91,3
171A026,0,0,305,1,1,12,3,2,90,16
171A027,0,0,146,5,0,11,2,4,34,16
171A028,0,0,117,0,0,5,0,0,14,2
171A029,0,1,109,20,1,0,2,0,112,1
171A030,0,1,377,2,5,23,0,7,40,7
171A031,0,1,98,0,1,10,0,5,96,16
171A032,0,0,90,5,2,43,3,11,119,17
171A033,0,0,167,1,0,7,0,12,42,48
171A034,0,1,138,2,1,1,5,50,46,9
171A035,0,1,88,0,1,8,1,12,72,6
171A036,0,0,154,0,1,19,1,15,81,8
171A037,1,2,69,1,4,13,0,6,26,4
171A038,0,0,87,0,0,2,0,4,28,2
Ukupno,15,68,5469,110,97,490,81,574,1926,773
