"Biračko Mjesto","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","HRVATSKI SAVEZ HKDU - HRAST","JURE DŽIDA - NEZAVISNI KANDIDAT"
172A001,120,4,131,63,29
172A002A,109,7,125,52,11
172A002B,165,0,52,43,17
172A002C,77,5,103,26,3
172A003,123,0,41,54,8
172A004,221,0,9,76,97
172A005,271,1,13,105,18
172A006,198,0,9,29,24
172A007,308,0,22,71,19
172A008,168,0,12,63,0
172A009,265,0,14,164,21
172A010,168,0,27,103,40
172A011,162,1,35,63,37
172A012,253,5,44,117,42
172A013,227,0,23,74,17
172A014,235,3,34,119,3
172A015,104,1,14,92,5
172A016,173,1,16,76,0
172A017,111,0,14,79,8
172A018,176,2,20,67,37
172A019,152,0,17,69,7
172A020,103,0,15,54,22
172A021,206,0,49,59,37
Ukupno,4095,30,839,1718,502
