"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","HKDU BIH","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","HRVATSKA STRANKA PRAVA HERCEG-BOSNE","HRS-HRVATSKA REPUBLIKANSKA STRANKA","GRAĐANSKI SAVEZ (GS)","ČAPLJINSKA NEOVISNA STRANKA-ČAPLJINA U SRCU",SDA/SBB,"ZA ČAPLJINU HSP DR ANTE STARČEVIĆ, HSP BIH"
173A001,1,0,12,169,16,28,2,6,3,38,13,7
173A002,0,2,5,86,6,20,2,2,0,23,15,4
173A003,0,0,19,116,6,10,2,0,0,25,19,4
173A004,0,0,43,234,16,51,2,3,1,29,24,6
173A005,10,7,12,293,0,75,0,0,0,20,46,5
173A006,0,0,12,81,0,1,1,0,0,14,0,0
173A007,7,3,10,85,0,17,0,1,2,2,195,3
173A008,0,1,0,137,2,42,2,5,0,16,6,8
173A009,0,1,4,226,1,8,3,1,1,35,2,5
173A010,1,9,10,320,2,35,1,1,0,13,0,0
173A011,0,1,3,119,1,27,5,0,0,9,1,5
173A012,0,0,3,102,0,19,0,0,0,19,0,7
173A013,0,3,6,309,2,36,0,2,0,64,1,10
173A014,1,0,20,25,1,1,0,0,3,4,278,0
173A015,1,0,8,124,1,26,3,0,1,55,19,8
173A016,0,0,0,69,0,16,0,2,0,3,0,2
173A017,0,2,45,182,4,52,6,7,2,24,31,12
173A018,0,0,1,116,0,31,2,0,0,24,0,2
173A019,0,1,5,67,0,50,0,0,0,18,1,2
173A020A,5,0,8,80,0,7,3,2,1,25,32,3
173A020B,0,0,25,71,8,10,14,0,0,26,33,3
173A021A,0,0,2,194,8,19,1,10,0,52,0,4
173A021B,0,0,8,154,5,18,0,2,0,52,0,1
173A022A,0,0,5,244,1,28,3,0,3,13,69,1
173A022B,8,0,9,168,1,40,0,0,8,15,39,1
173A023,0,0,0,125,2,20,0,0,0,10,0,1
173A024,0,0,28,117,4,24,0,0,1,24,15,5
173A025,0,0,5,40,0,12,1,0,0,97,2,1
173A026,1,0,19,230,2,37,1,9,0,24,7,5
173A027,1,0,0,112,2,53,16,0,0,11,2,5
173A028,4,1,19,123,1,20,3,2,2,10,182,1
173A029,0,0,2,133,0,43,2,0,1,16,1,7
173A030,12,2,3,4,0,0,1,0,0,2,143,0
173A031,5,0,54,47,0,13,0,0,4,19,144,0
173A032,0,2,19,113,9,21,3,1,2,15,13,9
173A033,1,0,26,157,8,30,1,4,0,16,19,7
Ukupno,58,35,450,4972,109,940,80,60,35,862,1352,144
