"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","NARODNI DEMOKRATSKI POKRET","SRS-SRPSKA U SIGURNE RUKE"
179B001,16,3,3,20,27,0,1,0
179B002,4,0,5,4,4,0,1,4
179B003,4,3,3,5,5,0,1,0
179B004,5,1,3,8,8,0,0,0
179B005,13,2,1,19,11,0,2,4
179B006,11,2,0,4,4,0,4,0
179B007,19,4,7,22,10,0,2,1
179B008,58,1,2,15,12,0,0,1
179B009,4,0,5,5,1,0,0,0
179B010,17,4,3,10,8,0,2,0
179B011,212,27,80,150,164,1,54,23
179B012,151,20,32,101,155,0,11,10
179B013,162,57,65,165,104,0,51,18
179B014,37,0,15,15,14,0,2,3
Ukupno,713,124,224,543,527,1,131,64
