"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","POKRET ZA TREBINJE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","PRVA STRANKA","NARODNI DEMOKRATSKI POKRET","SNAGA NARODA","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH","UJEDINJENA SRPSKA","RADIKALNO BOLJE - SRS-SRS RS"
182B001,0,45,27,7,55,31,197,21,0,3,21,0,0,34,4
182B002,0,49,54,17,55,34,225,21,0,0,13,0,1,6,3
182B003,0,61,60,17,118,72,244,22,0,0,12,0,0,19,2
182B004,0,36,13,15,68,27,114,5,0,0,4,0,0,0,1
182B005,0,63,26,11,83,40,232,50,0,2,8,0,0,23,8
182B006,0,56,49,13,91,49,199,6,0,1,19,0,0,22,16
182B007,1,39,38,10,67,41,186,24,0,1,3,0,0,17,1
182B008,0,51,38,13,70,43,216,19,0,0,15,0,1,36,8
182B009,0,69,28,23,150,35,290,19,0,0,16,0,0,18,4
182B010,0,85,47,13,192,85,241,10,1,0,8,1,0,16,8
182B011,1,69,47,22,49,32,184,30,0,2,17,0,0,17,2
182B012,0,78,23,13,137,35,238,24,0,0,16,0,0,21,11
182B013,1,54,25,26,93,33,279,15,0,0,18,0,0,20,0
182B014,0,25,21,7,41,29,96,10,0,0,8,0,0,5,8
182B015,0,36,12,3,52,28,106,8,0,0,4,0,0,25,2
182B016,0,92,67,19,94,32,267,27,0,5,14,2,1,36,11
182B017,1,25,18,8,82,25,161,5,2,3,9,0,2,12,13
182B018,0,79,20,23,96,48,143,11,0,3,8,1,1,31,0
182B019,0,31,25,5,22,25,108,0,0,4,5,0,0,6,7
182B020,0,26,3,0,85,8,36,3,0,0,8,0,0,1,1
182B021,0,36,7,1,27,15,48,3,0,0,1,0,0,4,0
182B022,0,61,21,3,31,14,59,9,0,0,0,0,0,0,0
182B023,0,31,3,5,7,11,52,6,0,0,10,0,0,2,0
182B024,0,32,6,4,23,8,73,3,0,0,9,0,0,6,2
182B025,1,44,34,27,89,27,197,17,0,3,25,0,0,12,7
182B026A,0,33,36,8,61,35,124,4,1,0,4,0,0,9,3
182B026B,0,71,22,7,78,54,156,21,0,1,12,0,0,9,6
182B027,0,32,28,28,93,44,178,30,0,0,10,0,0,39,0
182B028,0,86,49,21,122,45,253,17,0,1,18,0,0,34,3
182B029,0,60,43,14,93,17,202,23,0,0,11,0,0,22,6
182B030,3,39,18,18,68,33,91,13,0,0,27,0,0,13,5
182B031,0,61,26,8,45,52,149,14,0,0,7,0,0,16,5
182B032,1,62,19,16,68,22,178,28,0,3,10,0,3,30,3
182B033,0,64,31,11,66,54,216,17,0,0,10,0,3,13,20
182B034,0,44,45,1,67,51,181,21,0,0,14,0,2,19,5
182B035,0,62,27,27,83,39,207,37,0,0,10,0,0,38,4
182B036,0,73,38,27,106,45,238,19,0,1,20,0,0,34,3
182B037,0,38,25,1,56,18,186,21,0,1,13,0,0,8,3
182B038,0,53,32,15,100,57,220,17,0,0,13,0,0,18,11
182B039,0,38,11,19,45,30,138,7,0,1,3,0,0,6,9
182B040,0,13,26,16,41,17,101,9,1,9,4,1,0,9,0
182B041,0,80,28,19,39,23,131,18,0,1,7,0,0,3,1
182B042,0,70,35,14,90,34,134,15,0,0,9,0,0,18,5
Ukupno,9,2252,1251,575,3198,1497,7274,699,5,45,473,5,14,727,211
