"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA NAPREDNA STRANKA","NARODNI DEMOKRATSKI POKRET","BRANKO GRUBLJEŠIĆ - NEZAVISNI KANDIDAT","UJEDINJENA SRPSKA","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH","SDS-SRPSKA DEMOKRATSKA STRANKA-SRPSKA RADIKALNA STRANKA RS"
184B001,16,66,7,152,30,118,17,12,33,26,0,99
184B002,33,9,41,52,12,35,12,11,3,16,30,32
184B003,13,23,1,82,51,45,3,18,1,19,0,135
184B004,4,24,0,79,21,69,0,16,3,12,0,75
184B005,3,14,6,44,40,38,3,8,0,19,0,48
184B006,0,6,0,26,13,11,0,3,0,7,0,15
184B007,1,2,0,13,15,4,0,3,0,11,0,25
184B008,0,0,0,18,4,4,5,0,0,1,0,24
184B009,1,0,0,5,1,5,0,0,2,0,0,14
184B010,0,3,0,6,6,1,0,3,0,0,0,7
184B011,0,0,0,6,7,9,3,2,0,6,0,34
184B012,6,53,2,127,41,140,12,8,6,45,0,111
184B013,55,12,39,67,5,18,12,9,2,4,15,39
Ukupno,132,212,96,677,246,497,67,93,50,166,45,658
