"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PARTIJA UJEDINJENIH PENZIONERA","LIBERALNO DEMOKRATSKA STRANKA BIH","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","SBB - FAHRUDIN RADONČIĆ","SRPSKA NAPREDNA STRANKA","DEMOKRATSKA FRONTA","SAVEZ ZA NOVU POLITIKU","SRS-SRPSKA U SIGURNE RUKE","POKRET ZA BOLJE BRČKO-ĐAPO MIRSAD","BRČANSKI DEMOKRATSKI POKRET (BDP)","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH","HRVATSKA SELJAČKA STRANKA - BRAĆA RADIĆ BRČKO DISTRIKT BIH",PDP-NS,"KOALICIJA SDS-NDP"
200C001,1,0,0,9,0,37,0,2,0,1,114,0,0,3,0,0,11,3,13,0,3,38,84
200C002,0,0,0,2,0,40,0,2,0,0,34,0,2,1,0,1,2,2,16,0,2,16,74
200C003,0,21,24,4,0,15,47,2,9,0,51,0,17,3,17,0,2,12,24,0,9,17,64
200C004,0,14,35,13,0,14,37,1,7,0,17,2,24,1,13,0,0,12,28,0,6,13,27
200C005A,0,0,0,197,0,0,1,0,0,1,11,0,0,0,0,0,0,0,1,0,130,1,10
200C005B,0,0,0,141,0,1,0,0,0,0,23,0,0,0,2,0,1,0,3,0,105,5,5
200C006,0,1,15,6,0,22,6,3,0,0,58,0,7,2,10,0,3,10,13,0,6,42,85
200C007,0,6,14,11,0,18,9,1,0,2,60,0,16,1,11,0,0,4,29,0,6,42,69
200C008,0,2,4,15,0,18,1,1,0,1,45,0,8,3,5,0,0,0,11,0,2,32,53
200C009,0,4,3,2,0,17,14,0,0,2,67,1,4,2,1,0,0,6,20,0,3,54,103
200C010,1,0,0,117,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,78,0,0
200C011,0,0,2,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,118,0,0
200C012A,1,2,13,2,0,3,153,1,2,0,88,1,16,0,1,0,0,1,11,0,0,36,30
200C012B,0,6,10,1,0,12,81,1,0,0,86,0,3,2,4,1,0,0,6,0,0,21,29
200C013,0,0,0,2,0,8,0,1,0,0,77,0,0,0,0,0,0,0,1,0,0,42,29
200C014A,0,26,59,0,0,2,95,0,5,0,0,0,14,0,10,0,0,6,130,1,1,0,1
200C014B,1,22,52,6,0,0,110,0,1,0,1,0,25,0,18,0,0,15,107,0,13,0,0
200C014C,0,24,80,0,0,0,56,0,0,0,1,1,22,1,17,0,0,6,96,0,0,1,4
200C015,0,33,44,0,0,0,96,0,8,0,1,0,26,0,18,0,0,26,26,0,2,0,1
200C016,0,24,26,1,0,0,48,0,4,0,0,4,59,1,43,0,0,10,23,0,7,4,3
200C017,0,17,20,1,1,0,19,0,2,0,0,0,42,0,7,0,0,16,21,0,2,0,0
200C018,0,0,0,0,0,16,0,0,0,0,22,0,0,0,0,0,0,0,1,0,2,17,30
200C019,0,1,1,1,0,5,2,0,0,0,113,0,0,1,0,0,0,0,6,0,18,27,45
200C020,1,0,0,0,0,37,0,0,0,0,88,0,0,0,0,0,0,0,0,0,1,35,40
200C021,0,4,16,4,0,19,14,1,0,0,80,0,11,1,18,0,0,6,15,0,8,46,119
200C022,0,6,26,7,0,7,19,1,0,2,28,0,23,0,28,0,1,4,23,0,3,12,62
200C023,0,7,21,6,0,24,2,1,1,1,48,2,13,4,16,0,0,4,12,0,5,29,66
200C024,0,4,8,11,0,16,7,1,0,3,92,0,4,2,24,0,1,9,29,0,1,51,84
200C025,1,2,11,21,0,34,11,1,1,3,86,0,6,4,15,0,2,1,17,0,7,31,127
200C026,2,8,16,10,0,23,5,0,0,0,70,0,10,1,14,0,2,7,18,1,5,41,130
200C027,1,11,9,15,0,16,12,2,1,2,44,0,7,5,7,0,2,1,16,0,2,22,66
200C028,0,4,20,6,0,8,15,2,0,0,86,0,4,3,22,0,1,4,15,0,5,29,73
200C029,0,9,14,2,0,8,11,1,0,0,18,0,35,1,35,0,1,8,18,0,4,4,30
200C030,0,3,4,6,0,17,13,1,6,3,51,3,0,4,36,0,1,3,15,0,7,17,58
200C031,0,5,22,9,0,10,28,2,2,0,11,1,17,0,71,0,1,8,31,0,3,8,11
200C032,0,2,15,4,0,8,13,0,0,0,34,2,17,3,29,0,1,0,11,0,1,14,23
200C033,0,0,0,11,0,11,5,0,1,0,21,1,1,0,1,0,10,2,26,0,18,13,59
200C034,0,20,2,0,0,0,48,0,0,0,0,0,7,0,0,0,0,25,17,0,43,0,0
200C035,5,42,51,14,0,0,79,0,1,0,5,1,40,0,17,0,0,10,58,0,7,0,0
200C036A,0,1,1,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0
200C036B,0,0,2,121,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0
200C037,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,0,0
200C038,0,0,1,10,0,34,0,1,1,0,102,0,0,5,2,0,3,1,7,0,8,86,115
200C039,0,0,1,54,0,6,0,0,0,0,4,0,0,0,0,0,4,0,2,0,13,11,3
200C040,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
200C041A,0,0,0,101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,0,0
200C041B,0,0,0,106,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,101,0,0
