municipality,Алијанса за Албанците,БЕСА,ВМРО за Македонија,ВМРО-ДПМНЕ и др.,ДПА,ДУИ,КПП - Трет блок,ЛЕВИЦА,ЛП,ПДП,СДСМ и др.,2016 winner
Аеродром,25,107,1086,21320,87,125,908,1379,367,,23220,СДСМ и др.
Арачиново,723,794,1,15,277,1456,9,2,1,,2052,СДСМ и др.
Берово,,,361,3856,6,11,62,32,12,,3996,СДСМ и др.
Битола,166,229,2004,24629,134,999,648,1342,227,,27358,СДСМ и др.
Богданци,,,261,2249,,9,54,24,15,,2610,СДСМ и др.
Боговиње,1589,3480,10,112,1901,3889,7,,,133,1044,ДУИ
Босилово,,,299,4352,,11,36,19,6,,3401,ВМРО-ДПМНЕ и др.
Брвеница,621,1220,155,2523,754,887,18,,,33,1613,ВМРО-ДПМНЕ и др.
Бутел,514,1893,363,8947,365,1804,497,298,112,,7845,ВМРО-ДПМНЕ и др.
Валандово,,,188,4022,,21,57,38,19,,3117,ВМРО-ДПМНЕ и др.
Василево,,,86,3840,,23,32,27,7,,2641,ВМРО-ДПМНЕ и др.
Вевчани,0,1,84,797,0,1,14,14,0,,632,ВМРО-ДПМНЕ и др.
Велес,,,635,16534,102,331,250,628,178,,13464,ВМРО-ДПМНЕ и др.
Виница,,,268,5844,28,13,96,48,25,,3908,ВМРО-ДПМНЕ и др.
Врапчиште,2442,1490,19,1551,647,3513,9,,,102,1345,ДУИ
Гази Баба,629,1415,985,21543,318,1308,651,646,271,,14829,ВМРО-ДПМНЕ и др.
Гевгелија,,,373,7608,,29,290,153,61,,7124,ВМРО-ДПМНЕ и др.
Ѓорче Петров,34,301,777,12381,61,307,443,555,163,,12121,ВМРО-ДПМНЕ и др.
Гостивар,6275,2335,238,8097,2468,8444,62,,,133,8288,ДУИ
Градско,,,45,1258,6,5,12,6,6,,910,ВМРО-ДПМНЕ и др.
Дебар,1245,965,20,1437,291,2075,7,8,1,13,2153,СДСМ и др.
Дебарца,7,18,62,1578,31,8,16,5,0,,1374,ВМРО-ДПМНЕ и др.
Делчево,,,1140,4375,16,11,118,24,19,,4110,ВМРО-ДПМНЕ и др.
Демир Капија,,,47,1513,,9,20,3,8,,1120,ВМРО-ДПМНЕ и др.
Демир Хисар,3,1,173,2975,11,42,20,31,16,,2381,ВМРО-ДПМНЕ и др.
Дојран,,,83,1015,,4,14,6,3,,1045,СДСМ и др.
Долнени,72,495,72,1763,758,1731,11,5,7,,2136,СДСМ и др.
Желино,605,3825,6,28,998,3061,2,,,108,387,БЕСА
Зелениково,,,60,1162,64,44,15,8,6,,931,ВМРО-ДПМНЕ и др.
Зрновци,,,46,1034,8,1,8,5,3,,477,ВМРО-ДПМНЕ и др.
Илинден,,,352,6409,8,7,103,62,55,,3394,ВМРО-ДПМНЕ и др.
Јегуновце,215,482,56,2271,194,786,9,,,24,1556,ВМРО-ДПМНЕ и др.
Кавадарци,,,444,12329,,53,197,229,122,,11465,ВМРО-ДПМНЕ и др.
Карбинци,,,64,1200,9,14,9,4,5,,1022,ВМРО-ДПМНЕ и др.
Карпош,67,317,763,14960,64,302,730,1200,357,,21592,СДСМ и др.
Кисела Вода,14,46,1045,19430,56,37,756,854,298,,16226,ВМРО-ДПМНЕ и др.
Кичево,1656,930,548,9022,138,7620,66,84,14,19,5557,ВМРО-ДПМНЕ и др.
Конче,,,79,976,,4,44,2,2,,997,СДСМ и др.
Кочани,,,637,10792,48,30,141,202,67,,9731,ВМРО-ДПМНЕ и др.
Кратово,,,149,3548,23,14,39,84,12,,2007,ВМРО-ДПМНЕ и др.
Крива Паланка,,,326,6519,25,8,81,59,29,,5881,ВМРО-ДПМНЕ и др.
Кривогаштани,0,0,132,2097,0,9,10,4,3,,1464,ВМРО-ДПМНЕ и др.
Крушево,4,41,171,2461,151,495,8,7,2,,2626,СДСМ и др.
Куманово,1681,4443,920,21205,1920,3276,371,752,122,,22544,СДСМ и др.
Липково,1528,2888,0,9,2122,4379,4,4,2,,773,ДУИ
Лозово,,,45,878,10,5,8,7,6,,587,ВМРО-ДПМНЕ и др.
Маврово и Ростуша,24,46,19,1374,47,204,4,,,3,1818,СДСМ и др.
Македонска Каменица,,,321,2245,10,8,26,11,12,,1906,ВМРО-ДПМНЕ и др.
Македонски Брод,3,0,87,2189,17,4,25,8,6,,1652,ВМРО-ДПМНЕ и др.
Могила,,,112,2230,,19,20,13,4,,1469,ВМРО-ДПМНЕ и др.
Неготино,,,255,6545,,30,341,92,46,,5506,ВМРО-ДПМНЕ и др.
Новаци,,,62,1374,,12,27,5,2,,753,ВМРО-ДПМНЕ и др.
Ново Село,,,78,3030,,16,21,19,11,,2558,ВМРО-ДПМНЕ и др.
Охрид,166,310,1373,16691,248,937,213,309,80,,14792,ВМРО-ДПМНЕ и др.
Петровец,,,132,2960,38,39,17,25,8,,1823,ВМРО-ДПМНЕ и др.
Пехчево,,,91,1591,3,1,13,9,5,,1483,ВМРО-ДПМНЕ и др.
Пласница,9,4,1,263,21,904,2,0,0,,450,ДУИ
Прилеп,,,1210,23662,,100,364,469,188,,22545,ВМРО-ДПМНЕ и др.
Пробиштип,,,229,5986,26,11,54,50,22,,3535,ВМРО-ДПМНЕ и др.
Радовиш,,,387,7433,,42,153,50,31,,7377,ВМРО-ДПМНЕ и др.
Ранковце,,,51,1336,4,0,10,5,4,,887,ВМРО-ДПМНЕ и др.
Ресен,45,122,149,4618,63,541,54,53,54,,4442,ВМРО-ДПМНЕ и др.
Росоман,,,75,1492,,1,16,6,3,,1128,ВМРО-ДПМНЕ и др.
Сарај,1889,3330,32,527,1432,6615,14,23,9,,2973,ДУИ
Свети Николе,,,332,6275,22,30,62,73,132,,4142,ВМРО-ДПМНЕ и др.
Сопиште,218,153,73,1637,197,166,71,26,11,,1032,ВМРО-ДПМНЕ и др.
Старо Нагоричане,1,0,34,1073,1,1,8,4,5,,1059,ВМРО-ДПМНЕ и др.
Струга,5730,3051,330,7072,1770,4515,185,145,29,,8420,СДСМ и др.
Струмица,,,531,15129,,87,193,232,71,,17874,СДСМ и др.
Студеничани,682,2024,7,686,1381,1244,9,12,2,,2515,СДСМ и др.
Теарце,774,2574,38,1147,1663,2963,11,,,19,1198,ДУИ
Тетово,3619,8512,359,8040,7279,10769,109,,,556,7252,ДУИ
Центар,45,209,627,10135,100,169,569,989,249,,18710,СДСМ и др.
Центар Жупа,34,21,5,805,21,147,7,1,0,,770,ВМРО-ДПМНЕ и др.
Чаир,1383,8594,190,4960,2067,6873,147,183,79,,8626,СДСМ и др.
Чашка,,,57,1604,59,527,30,3,9,,1602,ВМРО-ДПМНЕ и др.
Чешиново - Облешево,,,212,2431,9,4,22,23,17,,1529,ВМРО-ДПМНЕ и др.
Чучер - Сандево,198,165,40,1340,62,748,64,13,8,,2108,СДСМ и др.
Штип,,,1122,14333,60,28,175,399,108,,13459,ВМРО-ДПМНЕ и др.
Шуто Оризари,186,1037,68,4856,265,944,30,10,6,,2632,ВМРО-ДПМНЕ и др.
Grand Total,35121,57868,24367,449533,30964,85910,10028,12120,3840,1143,435079,ВМРО-ДПМНЕ и др.
