names,Важећи,Гласали,Двери за живот Србије,Демократска странка Србије - Војислав Коштуница,"Ивица Дачић - ""Социјалистичка партија Србије (СПС), Партија уједињених пензионера Србије (ПУПС), Јединствена Србија (ЈС)""",Избор за бољи живот - Борис Тадић,Коалиција Албанаца прешевске долине,Комунистичка партија - Јосип Броз,Неважећи,Неупотребљени,Ниједан од понуђених одговора,Покренимо Србију - Томислав Николић,Покрет радника и сељака,Примљени,Реформистичка странка - проф др Милан Вишњић,Савез војвођанских Мађара - Иштвар Пастор,"Све заједно: БДЗ, ГСМ, ДЗХ, ДЗВМ, Словачка странка - Емир Елфић",Социјалдемократски савез - Небојша Лековић,Српска радикална странка - др Војислав Шешељ,Странка демократске акције Санџака - др Сулејман Угљанин,У гласачкој кутији,Уједињени региони Србије - Млађан Динкић,Уписани бирачи,Црногорска партија - Ненад Стевовић,Чедомир Јовановић - Преокрет,Pobjednik
Ада,8961,9278,103,149,331,3946,4,37,313,6959,60,713,40,16237,16,2607,158,22,114,26,9274,284,16235,25,326,Избор за бољи живот - Борис Тадић
Александровац,16865,17719,555,1640,2857,3547,5,101,848,6376,100,3804,920,24095,16,23,8,43,948,17,17713,1437,24085,15,829,Покренимо Србију - Томислав Николић
Алексинац,25424,26469,737,3038,4272,4164,13,228,1040,18346,141,7218,572,44815,125,44,16,373,1399,32,26464,1765,44657,38,1249,Покренимо Србију - Томислав Николић
Алибунар,10928,11425,259,743,1526,4711,1,71,488,7640,25,1882,107,19065,10,46,18,9,443,7,11416,364,19080,5,701,Избор за бољи живот - Борис Тадић
Апатин,15351,15984,739,612,3095,3591,56,293,623,11182,108,2506,215,27166,9,1032,17,43,1774,9,15974,377,27197,34,841,Избор за бољи живот - Борис Тадић
Аранђеловац,20599,21498,1217,2095,3458,3530,3,144,894,17637,115,6040,272,39135,21,27,10,126,950,16,21493,880,39147,14,1681,Покренимо Србију - Томислав Николић
Ариље,10218,10662,670,767,1194,1777,4,62,442,5376,33,3140,1090,16038,12,6,2,35,607,8,10660,142,16037,1,668,Покренимо Србију - Томислав Николић
Бабушница,8164,8483,177,585,1719,1174,4,61,316,2716,33,2529,90,11199,124,32,9,42,432,17,8480,615,11203,6,515,Покренимо Србију - Томислав Николић
Бајина Башта,12944,13579,457,1566,2500,2138,2,70,632,9347,52,3013,303,22926,16,17,1,61,1333,10,13576,603,23026,6,796,Покренимо Србију - Томислав Николић
Барајево,13978,14609,503,1122,2054,3236,1,82,615,9121,73,5019,167,23730,17,19,3,36,668,6,14593,357,23725,10,605,Покренимо Србију - Томислав Николић
Баточина,7754,8035,201,450,1093,2641,4,36,277,2553,30,2113,57,10588,4,6,2,22,296,4,8031,505,10597,2,288,Избор за бољи живот - Борис Тадић
Бач,7856,8207,170,368,974,2575,3,71,343,5137,36,1785,92,13344,2,180,43,12,722,9,8199,185,13344,6,623,Избор за бољи живот - Борис Тадић
Бачка Паланка,28183,29307,1709,2098,4490,5783,10,305,1103,19287,149,6563,393,48594,28,409,134,88,3261,22,29286,800,48617,13,1928,Покренимо Србију - Томислав Николић
Бачка Топола,17330,17997,483,626,1154,3814,5,147,660,13043,127,2635,174,31040,37,5701,85,55,695,39,17990,391,31050,59,1103,Савез војвођанских Мађара - Иштвар Пастор
Бачки Петровац,6614,6924,202,123,596,2521,4,91,304,5482,51,851,99,12406,1,74,65,10,225,3,6918,656,12418,4,1038,Избор за бољи живот - Борис Тадић
Бела Паланка,8199,8507,118,309,2500,2589,5,40,306,1797,34,1385,52,10304,10,28,3,22,358,7,8505,328,10304,2,409,Избор за бољи живот - Борис Тадић
Бела Црква,9469,10176,218,508,1760,2791,6,124,691,6392,66,1951,157,16568,107,136,9,32,365,19,10160,521,16568,5,694,Избор за бољи живот - Борис Тадић
Беочин,8800,9285,315,513,1336,2618,18,119,480,4159,50,1823,139,13444,13,38,10,24,492,11,9280,888,13456,6,387,Избор за бољи живот - Борис Тадић
Бечеј,18357,19138,578,424,1299,4735,16,188,777,15031,138,3650,196,34169,55,3852,141,33,757,30,19134,578,34183,55,1632,Избор за бољи живот - Борис Тадић
Блаце,7975,8201,155,1320,1064,2126,5,38,226,2216,11,1425,52,10417,27,11,1,19,348,4,8201,979,10415,22,368,Избор за бољи живот - Борис Тадић
Богатић,15630,16641,607,838,3687,2895,3,131,1007,8932,100,4098,469,25573,42,40,8,37,983,13,16637,871,25585,1,807,Покренимо Србију - Томислав Николић
Бојник,7384,7541,65,613,899,2366,4,13,157,1874,8,2005,41,9415,23,30,3,9,328,6,7541,853,9414,1,117,Избор за бољи живот - Борис Тадић
Бољевац,7490,7719,92,209,1339,1765,5,75,229,4120,22,1504,423,11839,12,24,6,13,183,10,7719,1333,11844,2,473,Избор за бољи живот - Борис Тадић
Бор,22489,23325,882,851,3283,6639,7,222,832,22256,99,5156,804,45581,17,27,12,55,627,15,23321,2524,45581,12,1257,Избор за бољи живот - Борис Тадић
Босилеград,5233,5398,12,1961,878,1026,5,15,164,3017,6,582,18,8415,6,6,2,8,153,6,5397,251,8417,5,293,Демократска странка Србије - Војислав Коштуница
Брус,10438,10790,255,942,2028,1609,7,41,351,3900,36,3636,144,14690,9,12,4,29,408,11,10789,906,14692,7,354,Покренимо Србију - Томислав Николић
Бујановац,15243,17784,309,613,2093,1517,6069,12,2528,21214,21,2295,75,38998,22,38,73,24,697,70,17771,649,38990,9,657,Коалиција Албанаца прешевске долине
Ваљево,40529,43379,2450,3571,7934,7545,30,491,2815,37343,255,10622,860,80722,34,59,15,165,1561,22,43344,1473,80791,44,3398,Покренимо Србију - Томислав Николић
Варварин,10833,11373,357,1029,1748,1864,6,54,540,5359,43,2779,315,16732,14,13,16,9,565,15,11373,901,16735,11,1094,Покренимо Србију - Томислав Николић
Велика Плана,20121,20975,706,2625,3871,3857,10,141,843,17459,69,5325,283,38434,15,29,8,77,1054,20,20964,944,38447,14,1073,Покренимо Србију - Томислав Николић
Велико Градиште,9856,10308,334,505,2302,2241,3,68,449,9905,39,2519,178,20213,2,15,2,15,440,3,10305,638,20233,5,547,Покренимо Србију - Томислав Николић
Витина,687,714,31,95,110,135,0,0,27,1321,2,136,7,2035,2,1,0,2,110,0,714,40,2035,0,16,Покренимо Србију - Томислав Николић
Владимирци,9105,9659,248,795,1629,2285,3,237,551,6063,26,2429,167,15722,10,25,4,28,649,7,9656,198,15721,3,362,Покренимо Србију - Томислав Николић
Владичин Хан,12139,12503,234,857,2671,2568,8,47,362,5442,79,3307,163,17945,51,62,40,34,508,19,12501,870,18005,6,615,Покренимо Србију - Томислав Николић
Власотинце,18774,19413,401,477,4177,4436,3,45,638,5631,63,4896,159,25044,17,70,4,52,883,14,19412,2583,25070,6,488,Покренимо Србију - Томислав Николић
Вождовац,76949,80593,4487,7204,8846,19544,11,592,3558,72517,703,23456,902,153110,75,55,25,529,2848,32,80507,1482,153233,54,6104,Покренимо Србију - Томислав Николић
Врање,40180,41668,1266,2963,10365,7007,19,196,1483,22879,179,10034,364,64547,86,69,89,108,1724,42,41663,3780,64570,26,1863,"Ивица Дачић - ""Социјалистичка партија Србије (СПС), Партија уједињених пензионера Србије (ПУПС), Јединствена Србија (ЈС)"""
Врањска Бања,5409,5625,104,230,1587,1221,1,12,214,3290,8,1066,27,8915,5,19,17,13,253,2,5623,651,8917,5,188,"Ивица Дачић - ""Социјалистичка партија Србије (СПС), Партија уједињених пензионера Србије (ПУПС), Јединствена Србија (ЈС)"""
Врачар,32167,34408,1991,3352,3317,11339,16,290,2221,28688,391,5300,326,63096,26,34,16,266,904,11,34388,639,63062,29,3920,Избор за бољи живот - Борис Тадић
Врбас,21287,22323,1370,874,4795,5098,4,182,1033,14469,113,4790,250,36792,16,331,11,78,1339,12,22320,387,36810,212,1425,Избор за бољи живот - Борис Тадић
Врњачка Бања,16868,17554,971,1397,2656,3809,5,88,677,7320,81,5483,294,24874,29,17,27,79,526,21,17545,606,24876,18,761,Покренимо Србију - Томислав Николић
Вршац,25016,26401,1236,832,4481,7733,7,150,1366,20342,224,5235,380,46743,47,284,13,70,1182,21,26382,751,46902,12,2358,Избор за бољи живот - Борис Тадић
Вучитрн,704,716,15,111,122,100,0,0,12,1175,0,251,5,1891,0,2,0,0,48,0,716,49,1891,1,0,Покренимо Србију - Томислав Николић
Гаџин Хан,6024,6299,104,627,2140,710,3,31,275,1640,13,1323,49,7939,31,22,3,19,252,58,6299,302,7939,2,335,"Ивица Дачић - ""Социјалистичка партија Србије (СПС), Партија уједињених пензионера Србије (ПУПС), Јединствена Србија (ЈС)"""
Гњилане,2989,3087,75,161,480,874,0,0,98,6536,0,617,15,9623,2,2,0,0,127,1,3087,610,9822,0,25,Избор за бољи живот - Борис Тадић
Голубац,5625,5800,91,414,861,1789,2,54,175,3073,20,1539,71,8873,10,6,0,15,241,2,5800,157,8873,3,350,Избор за бољи живот - Борис Тадић
Гора,519,532,0,55,184,166,2,0,13,8075,0,78,3,8607,0,1,2,1,9,2,532,10,8607,1,5,"Ивица Дачић - ""Социјалистичка партија Србије (СПС), Партија уједињених пензионера Србије (ПУПС), Јединствена Србија (ЈС)"""
Горњи Милановац,22543,23865,1247,2121,4459,3864,7,147,1320,14912,109,6515,384,38777,18,29,4,75,883,12,23863,1227,38873,12,1430,Покренимо Србију - Томислав Николић
Гроцка,36988,38431,1445,3483,6760,6532,5,273,1427,32290,209,13405,459,70721,24,59,8,108,1647,20,38415,1020,70770,24,1507,Покренимо Србију - Томислав Николић
Деспотовац,14151,14575,234,400,1475,6580,3,40,407,10051,33,3849,111,24626,11,15,2,23,380,13,14558,635,24629,2,345,Избор за бољи живот - Борис Тадић
Димитровград,6724,6990,113,308,763,2710,6,35,264,2100,33,1411,71,9090,9,11,9,16,224,14,6988,325,9128,8,658,Избор за бољи живот - Борис Тадић
Дољевац,12345,12679,119,199,1376,1576,0,93,327,2440,28,2133,78,15119,23,6,1,20,461,4,12672,6007,15118,4,217,Уједињени региони Србије - Млађан Динкић
Жабаљ,11524,12264,780,627,1472,2567,9,69,736,9916,89,3198,214,22180,28,49,15,44,1176,12,12260,352,22115,25,798,Покренимо Србију - Томислав Николић
Жабари,6431,6751,114,263,1645,1643,3,39,320,6029,18,1421,105,12780,7,12,5,12,250,10,6751,614,12784,5,265,"Ивица Дачић - ""Социјалистичка партија Србије (СПС), Партија уједињених пензионера Србије (ПУПС), Јединствена Србија (ЈС)"""
Жагубица,7736,7985,104,533,2508,1382,5,19,249,3758,19,1443,96,11743,9,36,3,85,245,2,7985,1104,11743,4,139,"Ивица Дачић - ""Социјалистичка партија Србије (СПС), Партија уједињених пензионера Србије (ПУПС), Јединствена Србија (ЈС)"""
Житиште,9421,9907,292,686,1971,2303,3,65,486,5637,37,1533,92,15544,14,803,9,26,420,8,9907,537,15548,6,616,Избор за бољи живот - Борис Тадић
Житорађа,10695,11023,166,344,2224,3218,3,51,327,2782,22,2124,79,13805,16,11,31,19,1390,32,11022,833,13809,5,127,Избор за бољи живот - Борис Тадић
Зајечар,29877,31197,1112,1452,4186,5438,10,516,1306,24405,229,7044,1716,55602,41,37,12,102,1032,24,31183,4310,55554,24,2592,Покренимо Србију - Томислав Николић
Звездара,70901,74661,4410,6594,8209,20225,16,520,3684,69233,654,18301,996,143894,53,66,20,389,2614,26,74585,1408,143868,57,6343,Избор за бољи живот - Борис Тадић
Звечан,3355,3416,89,1083,478,428,0,2,61,4415,5,477,5,7831,2,3,0,0,274,4,3416,484,7831,2,19,Демократска странка Србије - Војислав Коштуница
Земун,78867,82598,4529,5871,8994,18593,19,775,3667,75342,712,25615,1020,157940,71,114,40,332,5020,36,82534,1616,158206,52,5458,Покренимо Србију - Томислав Николић
Зрењанин,57376,60213,2763,2588,6770,14150,18,400,2759,48109,512,16141,880,108322,70,2278,112,160,3257,34,60135,1772,108409,44,5427,Покренимо Србију - Томислав Николић
Зубин Поток,2550,2581,43,1020,497,155,1,4,31,2189,2,456,13,4770,0,5,0,0,280,0,2581,63,4769,0,11,Демократска странка Србије - Војислав Коштуница
Ивањица,16141,16708,686,1611,2679,2057,8,62,560,10726,63,5966,533,27434,38,16,7,44,603,24,16701,639,27446,9,1096,Покренимо Србију - Томислав Николић
Инђија,24540,25618,1132,2027,3867,5733,7,313,1054,16209,146,6518,368,41827,51,152,24,62,2517,19,25594,485,41831,28,1091,Покренимо Србију - Томислав Николић
Ириг,5782,6076,204,212,864,1467,5,75,294,3527,51,1510,128,9603,6,117,3,15,428,5,6076,270,9607,5,417,Покренимо Србију - Томислав Николић
Јагодина,34842,36599,1567,2183,13308,5352,6,232,1752,29563,162,6523,466,66162,32,64,5,222,1259,12,36594,1442,66279,16,1991,"Ивица Дачић - ""Социјалистичка партија Србије (СПС), Партија уједињених пензионера Србије (ПУПС), Јединствена Србија (ЈС)"""
Кањижа,12901,13374,199,279,351,3734,13,80,469,9932,104,627,102,23306,32,5977,43,28,146,22,13370,236,23202,22,906,Савез војвођанских Мађара - Иштвар Пастор
Кикинда,31281,32855,993,1562,3949,7819,12,313,1558,20251,259,8795,484,53106,47,1514,39,120,1483,20,32839,1172,53042,19,2681,Покренимо Србију - Томислав Николић
Кладово,12006,12527,195,686,2386,4089,4,78,518,10903,39,3146,192,23430,13,29,4,29,311,9,12524,329,23441,12,455,Избор за бољи живот - Борис Тадић
Кнић,7896,8308,330,588,1382,1460,5,79,410,3774,23,2476,137,12082,31,14,7,22,240,10,8306,648,12082,7,437,Покренимо Србију - Томислав Николић
Књажевац,15202,15804,478,865,2537,2090,6,126,597,12434,93,3770,363,28238,99,18,5,91,594,11,15799,3136,28247,6,914,Покренимо Србију - Томислав Николић
Ковачица,11857,12389,192,260,883,4321,6,199,506,10138,67,2836,222,22527,11,440,188,14,320,29,12363,500,22619,2,1367,Избор за бољи живот - Борис Тадић
Ковин,14357,15212,343,560,2054,3612,13,94,851,13394,59,4444,245,28606,14,515,7,34,594,10,15208,878,29114,8,873,Покренимо Србију - Томислав Николић
Косјерић,5304,5558,430,556,852,810,1,21,253,4781,18,1132,183,10339,3,14,3,14,183,3,5557,475,10339,0,606,Покренимо Србију - Томислав Николић
Косово Поље,860,891,19,66,134,328,0,0,31,5390,0,241,7,6281,1,1,0,0,56,2,891,2,6384,1,2,Избор за бољи живот - Борис Тадић
