names,"Александар Вучић - СНС, СДПС, НС, СПО, ПС",Бирачи који су гласали,"Борис Тадић - НДС, ЛСВ, ЗЗС, ВМДК, ЗЗВ, ДЛР",Број гласачких листића у кутији,Број неупотребљених гласачких листића,Број примљених гласачких листића,Број уписаних бирача у бирачки списак,Важећи гласачки листићи,"Група грађана ""Патриотски фронт""",Двери - Бошко Обрадовић,Демократска странка Србије - Војислав Коштуница,Доста је било - Саша Радуловић,"Ивица Дачић - СПС, ПУПС, ЈС",Коалиција грађана свих народа и народности,Листа нацоналних заједница - Емир Елфић,Неважећи гласачки листићи,Партија за демократско деловање - Риза Халими,Руска странка - Слободан Николић,Са демократском странком за демократску Србију,Савез војвођанских Мађара - Иштван Пастор,СДА Санџака - др Сулејман Угљанин,Српска радикална странка - др Војислав Шешељ,Трећа Србија - за све вредне људе,Уједињени региони Србије - Млађан Динкић,Црногорска партија - Јосип Броз,"Чедомир Јовановић - ЛДП, БДЗС, СДУ",Pobjednik
Ада,1180,7835,625,7834,8321,16156,16155,7597,2,82,72,78,274,6,162,237,7,7,1115,3654,7,52,25,95,6,148,Савез војвођанских Мађара - Иштван Пастор
Александровац,7384,13946,704,13943,9891,23837,23846,13486,7,603,587,108,2003,6,9,457,12,88,732,13,17,185,75,487,26,440,"Александар Вучић - СНС, СДПС, НС, СПО, ПС"
Алексинац,13124,24201,552,24201,19939,44140,44152,23544,18,653,834,237,3793,20,16,657,36,39,913,12,48,371,39,1936,80,823,"Александар Вучић - СНС, СДПС, НС, СПО, ПС"
Алибунар,4166,9528,1424,9528,9741,19269,19271,9186,5,219,368,76,894,5,3,342,9,6,1488,27,10,173,12,131,16,154,"Александар Вучић - СНС, СДПС, НС, СПО, ПС"
Апатин,6374,14410,761,14406,11974,26384,26385,14001,8,300,183,179,3503,18,15,405,3,19,519,929,11,705,109,74,37,254,"Александар Вучић - СНС, СДПС, НС, СПО, ПС"
Аранђеловац,13050,23586,783,23580,15257,38843,38879,22857,58,1104,1323,278,2919,10,5,723,11,19,758,16,8,552,32,693,33,1205,"Александар Вучић - СНС, СДПС, НС, СПО, ПС"
Ариље,5503,9313,290,9313,6630,15943,15943,8935,11,506,430,124,993,4,6,378,22,14,461,4,11,231,24,72,18,211,"Александар Вучић - СНС, СДПС, НС, СПО, ПС"
Бабушница,3535,6811,203,6804,3958,10769,10773,6618,6,134,289,39,1466,4,5,186,15,12,252,8,11,131,7,320,7,174,"Александар Вучић - СНС, СДПС, НС, СПО, ПС"
Бајина Башта,5964,12049,521,12048,10452,22501,22510,11654,77,416,580,142,2255,9,6,394,7,7,617,6,9,377,22,361,10,268,"Александар Вучић - СНС, СДПС, НС, СПО, ПС"
Барајево,7829,13362,661,13356,10549,23911,23936,12921,20,423,702,136,1547,13,1,435,2,19,920,7,11,223,34,119,16,238,"Александар Вучић - СНС, СДПС, НС, СПО, ПС"
