names,SDA Sandžaka – Dr. Sulejman Ugljanin / СДА Санџака – Др Сулејман Угљанин,Vajdasági Magyar Szövetség – Pásztor István / Савез војвођанских Мађара – Иштван Пастор,Александар Вучић - Србија побеђује,Бирачи који су гласали,"Борис Тадић, Чедомир Јовановић – Савез за бољу Србију – Либерално демократска партија, Лига социјалдемократа Војводине, Социјалдемократска странка",Борко Стефановић – Србија за све нас,Број гласачких листића у кутији,Број неупотребљених гласачких листића,Број примљених гласачких листића,Број уписаних бирача у бирачки списак,Важећи гласачки листићи,"Група грађана ""За препород Србије"" – про. др Слободан Комазец",Двери – Демократска странка Србије – Санда Рашковић Ивић – Бошко Обрадовић,Дијалог - млади са ставом - Станко Дебељаковић,Доста је било - Саша Радуловић,Др Војислав Шешељ – Српска радикална странка,"За праведну Србију - Демократска странка (НОВА, ДСХВ, ЗЗС)",За слободну Србију – Заветници – Милица Ђурђевић,Зелена Странка,"Ивица Дачић – Социјалистичка партија Србије (СПС), Јединствена Србија (ЈС) – Драган Марковић Палма",Муамер Зукорлић / Muamer Zukorlić – Бошњачка демократска заједница Санџака / Bošnjačka demokratska zajednica Sandžaka,Неважећи гласачки листићи,Партија за демократско деловање - Ардита Синани / Partia për Veprim Demokratik - Ardita Sinani,Републиканска странка – Republikánus párt – Никола Сандуловић,Руска странка - Слободан Николић,Српско руски покрет – Слободан Димитријевић,У инат - Сложно за Србију - Народни савез,Pobjednik
Ада,7,2255,1838,8027,555,15,8024,7349,15377,15381,7760,10,96,9,222,168,2199,26,60,237,13,264,3,7,11,10,19,Vajdasági Magyar Szövetség – Pásztor István / Савез војвођанских Мађара – Иштван Пастор
Александровац,29,6,8644,15286,569,66,15279,7952,23239,23282,14711,45,885,49,320,1208,848,71,55,1753,23,568,1,19,30,12,78,Александар Вучић - Србија побеђује
Алексинац,21,24,13177,25072,766,157,25065,18182,43254,43301,24315,57,1186,39,759,1728,1009,145,83,4766,61,750,13,7,149,73,95,Александар Вучић - Србија побеђује
Алибунар,3,58,5216,10804,1159,29,10801,7982,18786,18789,10495,26,415,21,275,762,1173,43,38,1211,20,306,1,1,8,17,19,Александар Вучић - Србија побеђује
Апатин,9,791,7195,15724,629,64,15671,10407,26133,26333,15220,42,285,16,628,1497,774,59,161,2763,41,451,0,120,32,23,91,Александар Вучић - Србија побеђује
Аранђеловац,5,15,11015,20506,811,140,20503,18108,38618,38600,19928,58,1036,54,906,2062,718,287,138,2219,23,575,5,27,55,36,318,Александар Вучић - Србија побеђује
Ариље,11,22,5712,10138,316,33,10138,5738,15876,15880,9735,29,568,16,352,1083,599,74,30,775,19,403,1,7,34,13,41,Александар Вучић - Србија побеђује
Бабушница,33,27,3971,7508,343,19,7506,2685,10193,10199,7259,14,249,8,155,608,229,28,33,1333,46,247,2,15,85,18,43,Александар Вучић - Србија побеђује
Бајина Башта,5,23,7471,13412,426,53,13405,8760,22172,22178,13028,19,933,28,472,1094,541,74,33,1763,12,377,0,6,15,23,37,Александар Вучић - Србија побеђује
Барајево,9,12,7313,14186,833,92,14161,9887,24073,24090,13662,57,1155,22,457,1230,744,84,59,1384,41,499,4,12,36,29,89,Александар Вучић - Србија побеђује
Баточина,7,8,4188,7548,246,21,7548,2853,10404,10405,7316,25,276,11,139,516,846,81,35,824,16,232,4,2,26,13,32,Александар Вучић - Србија побеђује
Бач,5,191,3632,7799,961,38,7797,5393,13192,13205,7564,8,218,7,184,738,829,27,44,578,44,233,2,7,13,25,13,Александар Вучић - Србија побеђује
Бачка Паланка,15,403,15606,30226,1395,193,30204,17643,47869,47892,29302,78,1009,42,1638,3425,1551,203,168,3192,28,902,4,55,103,139,55,Александар Вучић - Србија побеђује
Бачка Топола,7,4665,4663,14360,917,37,14354,14989,29353,29396,13883,49,400,31,350,739,723,73,111,963,38,471,13,5,25,25,49,Vajdasági Magyar Szövetség – Pásztor István / Савез војвођанских Мађара – Иштван Пастор
Бачки Петровац,10,62,2991,7108,1124,48,7108,5142,12250,12259,6858,15,116,11,443,303,901,24,75,685,10,250,3,2,13,8,14,Александар Вучић - Србија побеђује
Бела Паланка,5,9,4385,8385,1559,21,8385,1345,9730,9735,8180,12,128,9,78,420,243,31,11,1225,8,205,3,2,12,4,15,Александар Вучић - Србија побеђује
Бела Црква,6,28,5463,10150,1177,76,10149,6275,16425,16434,9833,16,337,49,212,596,626,32,45,970,9,316,1,4,18,7,161,Александар Вучић - Србија побеђује
Беочин,42,33,5057,9075,471,49,9073,4373,13448,13447,8787,34,227,7,330,716,472,54,57,1065,40,286,1,6,81,13,32,Александар Вучић - Србија побеђује
Бечеј,29,3213,7946,17857,1109,97,17845,15845,33702,33708,17193,39,445,29,1040,1021,1258,103,103,585,19,652,8,13,39,44,53,Александар Вучић - Србија побеђује
Блаце,2,11,4527,7611,374,70,7611,2243,9855,9860,7486,0,527,2,111,554,577,33,10,636,4,125,1,1,12,10,24,Александар Вучић - Србија побеђује
Богатић,10,86,6088,16784,680,60,16773,8278,25062,25098,16051,38,919,15,496,1935,701,223,72,4526,66,722,3,11,56,13,53,Александар Вучић - Србија побеђује
Бојник,54,30,4078,6766,156,12,6764,2214,8981,8982,6576,9,178,7,71,574,202,111,3,1041,11,188,1,8,17,3,10,Александар Вучић - Србија побеђује
Бољевац,3,10,3408,7171,427,44,7170,3959,11130,11139,6974,14,255,12,131,373,214,36,21,1961,7,196,2,9,14,7,26,Александар Вучић - Србија побеђује
Бор,19,17,10764,25067,1755,434,25059,19217,44299,44299,24468,80,1820,70,1481,1920,1504,284,212,3620,83,591,29,49,114,48,165,Александар Вучић - Србија побеђује
Босилеград,6,11,2024,5192,184,12,5192,2873,8067,8076,5052,0,1644,1,36,180,121,13,9,771,18,140,6,6,3,0,7,Александар Вучић - Србија побеђује
Брус,23,14,5741,10259,287,81,10259,3954,14213,14218,9940,29,529,160,194,894,312,51,21,1522,21,319,4,4,17,6,30,Александар Вучић - Србија побеђује
Бујановац,68,35,5998,19979,557,18,19979,22644,42620,42614,16910,14,407,13,120,754,210,54,24,1054,255,3069,7245,47,11,15,11,Партија за демократско деловање - Ардита Синани / Partia për Veprim Demokratik - Ardita Sinani
